#The Data points and control points
65
1.591195 1.528302
1.402516 2.056604
1.188679 2.584906
1.050314 3.138365
1.050314 3.817610
1.289308 4.547170
1.377358 5.402516
1.742138 6.257862
1.993711 6.685535
2.295597 6.962264
2.572327 6.861635
2.786164 6.484277
3.037736 6.761006
3.188679 7.415094
3.327044 7.792453
3.603774 8.371069
3.817610 8.698113
3.955975 8.672956
4.106918 8.496855
4.056604 8.194969
3.842767 7.691824
3.716981 7.138365
3.679245 6.635220
3.591195 5.955975
3.477987 5.452830
3.352201 4.773585
3.327044 4.119497
3.503145 3.742138
3.679245 3.591195
3.943396 3.943396
4.132075 4.421384
4.471698 5.150943
4.773585 5.729560
4.974843 6.132075
5.264151 6.383648
5.452830 6.408805
5.666667 6.132075
5.893082 5.679245
5.918239 5.327044
5.754717 5.000000
5.415094 4.723270
5.176101 4.471698
4.773585 4.018868
4.522013 3.716981
4.069182 3.037736
3.742138 2.509434
3.641509 1.805031
3.666667 1.301887
3.666667 0.949686
1.591195 1.528302
1.402516 2.056604
1.289308 4.547170
1.993711 6.685535
3.037736 6.761006
3.603774 8.371069
4.056604 8.194969
3.679245 6.635220
3.327044 4.119497
3.943396 3.943396
4.974843 6.132075
5.666667 6.132075
5.415094 4.723270
4.522013 3.716981
3.666667 1.301887
3.666667 0.949686
